# time  ID  size  fromHost  toHost  TTL  isResponse
438.0436 M220 2026052 dtn8_46 ADB9 140 N 
441.3812 M221 2152679 dtn5_37 ADB9 140 N 
442.8740 M222 2766358 dtn8_46 ADB9 140 N 
443.3618 M223 1558919 dtn6_40 ADB9 140 N 
443.4203 M224 1854957 dtn2_28 ADB9 140 N 
443.6864 M225 1398346 dtn5_36 ADB9 140 N 
444.1193 M226 1110098 dtn2_27 ADB9 140 N 
444.3534 M227 2167481 dtn6_40 ADB9 140 N 
446.2598 M228 1282141 dtn7_43 ADB9 140 N 
448.3306 M229 2015476 dtn7_43 ADB9 140 N 
450.5296 M230 1426578 dtn3_29 ADB9 140 N 
450.9835 M231 1164855 dtn1_24 ADB9 140 N 
455.6081 M232 1541014 dtn3_29 ADB9 140 N 
459.1337 M233 2318459 dtn3_29 ADB9 140 N 
462.8455 M234 1107365 dtn5_36 ADB9 140 N 
465.2251 M235 2079901 dtn2_27 ADB9 140 N 
465.3990 M236 2307386 dtn8_46 ADB9 140 N 
467.1345 M237 2488860 dtn6_39 ADB9 140 N 
467.4402 M238 1398394 dtn8_45 ADB9 140 N 
470.2986 M239 1767122 dtn6_40 ADB9 140 N 
473.1488 M240 1004630 dtn3_30 ADB9 140 N 
473.5088 M241 2535256 dtn5_36 ADB9 140 N 
475.7347 M242 2640710 dtn4_32 ADB9 140 N 
479.6349 M243 2206440 dtn7_41 ADB9 140 N 
480.3198 M244 1919148 dtn3_30 ADB9 140 N 
482.9651 M245 1340578 dtn1_23 ADB9 140 N 
484.0442 M246 2873085 dtn1_23 ADB9 140 N 
487.0246 M247 1002540 dtn6_38 ADB9 140 N 
489.4857 M248 2048840 dtn3_30 ADB9 140 N 
490.2151 M249 1217614 dtn4_32 ADB9 140 N 
490.6422 M250 2686066 dtn8_46 ADB9 140 N 
492.2472 M251 1375548 dtn7_42 ADB9 140 N 
496.9381 M252 2139027 dtn4_32 ADB9 140 N 
501.4378 M253 1636985 dtn4_32 ADB9 140 N 
501.5102 M254 2609399 dtn3_29 ADB9 140 N 
502.7674 M255 1047102 dtn2_27 ADB9 140 N 
505.4113 M256 2781823 dtn6_40 ADB9 140 N 
505.7209 M257 1008399 dtn2_28 ADB9 140 N 
506.3676 M258 2399386 dtn7_41 ADB9 140 N 
508.9637 M259 2875828 dtn7_42 ADB9 140 N 
510.9537 M260 2937431 dtn3_30 ADB9 140 N 
511.3568 M261 2149359 dtn6_38 ADB9 140 N 
514.0899 M262 2418565 dtn1_24 ADB9 140 N 
517.2242 M263 2736627 dtn7_41 ADB9 140 N 
518.8186 M264 2072874 dtn7_41 ADB9 140 N 
522.7227 M265 1961777 dtn8_46 ADB9 140 N 
524.9584 M266 2904826 dtn1_24 ADB9 140 N 
527.0344 M267 1378362 dtn4_34 ADB9 140 N 
527.0372 M268 2213084 dtn4_33 ADB9 140 N 
527.1602 M269 1173392 dtn4_32 ADB9 140 N 
527.2429 M270 2344048 dtn5_36 ADB9 140 N 
527.7005 M271 2299751 dtn1_23 ADB9 140 N 
530.4253 M272 1743442 dtn1_24 ADB9 140 N 
535.3858 M273 1344875 dtn6_39 ADB9 140 N 
535.6493 M274 2537942 dtn7_42 ADB9 140 N 
538.2183 M275 1584973 dtn8_44 ADB9 140 N 
544.3337 M276 2750272 dtn3_29 ADB9 140 N 
546.0085 M277 1097966 dtn3_30 ADB9 140 N 
546.8720 M278 2603370 dtn2_27 ADB9 140 N 
549.0081 M279 2214314 dtn2_26 ADB9 140 N 
553.1638 M280 1610776 dtn6_38 ADB9 140 N 
554.3599 M281 2692694 dtn3_31 ADB9 140 N 
556.2272 M282 1840957 dtn1_23 ADB9 140 N 
558.8696 M283 2197308 dtn3_29 ADB9 140 N 
562.7386 M284 2507801 dtn4_32 ADB9 140 N 
563.9015 M285 1555418 dtn8_44 ADB9 140 N 
568.3556 N5 1000000 ADB9 dtn1_24 140 N 
575.3713 M286 1678285 dtn8_45 ADB9 140 N 
578.0465 M287 2282491 dtn3_29 ADB9 140 N 
579.0932 M288 2677498 dtn8_45 ADB9 140 N 
579.3517 M289 1409966 dtn2_27 ADB9 140 N 
579.9712 M290 1655368 dtn5_37 ADB9 140 N 
580.7508 M291 2473449 dtn4_34 ADB9 140 N 
581.9933 M292 1617082 dtn5_35 ADB9 140 N 
582.3971 M293 1242665 dtn3_30 ADB9 140 N 
585.7835 M294 1943266 dtn4_34 ADB9 140 N 
585.9779 M295 1448206 dtn7_41 ADB9 140 N 
587.9651 M296 1655694 dtn2_28 ADB9 140 N 
588.3840 M297 2917135 dtn1_23 ADB9 140 N 
589.9561 M298 1815258 dtn6_39 ADB9 140 N 
594.0421 M299 2647560 dtn2_28 ADB9 140 N 
595.1382 M300 2601070 dtn3_30 ADB9 140 N 
598.7516 M301 2819313 dtn4_34 ADB9 140 N 
602.6623 M302 2505750 dtn2_28 ADB9 140 N 
606.9092 M303 2118726 dtn6_39 ADB9 140 N 
609.1447 M304 1310020 dtn4_32 ADB9 140 N 
610.0577 M305 2145592 dtn2_28 ADB9 140 N 
614.6119 M306 2839008 dtn3_30 ADB9 140 N 
614.9281 M307 1918174 dtn8_45 ADB9 140 N 
619.4739 M308 1308218 dtn3_30 ADB9 140 N 
624.7313 M309 2650058 dtn2_26 ADB9 140 N 
628.5289 M310 2784452 dtn4_33 ADB9 140 N 
630.5638 M311 2408572 dtn7_41 ADB9 140 N 
633.1987 M312 1952295 dtn4_34 ADB9 140 N 
633.3361 M313 1769420 dtn8_44 ADB9 140 N 
634.0388 M314 2503057 dtn2_27 ADB9 140 N 
634.4991 M315 1150722 dtn7_42 ADB9 140 N 
635.5172 M316 2521246 dtn7_41 ADB9 140 N 
639.3741 M317 1099405 dtn1_23 ADB9 140 N 
639.8590 M318 1126897 dtn8_46 ADB9 140 N 
640.8339 M319 1622328 dtn6_38 ADB9 140 N 
644.1470 M320 2876827 dtn6_38 ADB9 140 N 
645.7113 M321 2672652 dtn4_34 ADB9 140 N 
647.3776 M322 2894126 dtn7_41 ADB9 140 N 
653.1486 M323 2588576 dtn1_23 ADB9 140 N 
655.6579 M324 2324947 dtn3_30 ADB9 140 N 
656.3035 M325 2966809 dtn4_32 ADB9 140 N 
656.4779 M326 2275082 dtn5_35 ADB9 140 N 
663.0351 M327 2726259 dtn8_44 ADB9 140 N 
664.2367 M328 1868575 dtn4_33 ADB9 140 N 
665.4323 M329 1055903 dtn7_43 ADB9 140 N 
667.3407 M330 1062721 dtn8_45 ADB9 140 N 
667.9702 M331 2698418 dtn8_46 ADB9 140 N 
668.1290 M332 2976525 dtn1_24 ADB9 140 N 
671.0634 M333 2698634 dtn1_25 ADB9 140 N 
671.5314 M334 1721766 dtn8_44 ADB9 140 N 
673.0076 M335 2692060 dtn2_28 ADB9 140 N 
673.7449 M336 2482315 dtn4_33 ADB9 140 N 
675.2054 M337 1296075 dtn6_40 ADB9 140 N 
677.8841 M338 2408672 dtn6_40 ADB9 140 N 
679.0478 M339 2149958 dtn7_41 ADB9 140 N 
680.4098 M340 2066360 dtn7_43 ADB9 140 N 
683.6568 M341 1353856 dtn3_29 ADB9 140 N 
688.5261 M342 2678857 dtn2_28 ADB9 140 N 
700.4117 M343 1264272 dtn7_41 ADB9 140 N 
701.9854 M344 2811089 dtn1_23 ADB9 140 N 
705.0760 M345 1285946 dtn5_35 ADB9 140 N 
709.1872 M346 1561706 dtn7_43 ADB9 140 N 
709.9260 M347 2433595 dtn5_35 ADB9 140 N 
712.7401 M348 1642685 dtn3_29 ADB9 140 N 
713.6042 M349 2711007 dtn8_46 ADB9 140 N 
715.5470 M350 2424477 dtn7_43 ADB9 140 N 
716.3044 M351 1973216 dtn4_33 ADB9 140 N 
720.0095 M352 2817470 dtn8_46 ADB9 140 N 
722.1555 M353 2477750 dtn6_38 ADB9 140 N 
724.1035 M354 2731976 dtn6_40 ADB9 140 N 
724.4086 M355 2193540 dtn8_44 ADB9 140 N 
727.3598 M356 1061949 dtn3_29 ADB9 140 N 
729.2798 M357 2573962 dtn1_24 ADB9 140 N 
729.5185 M358 2063802 dtn1_24 ADB9 140 N 
732.3899 M359 1085712 dtn8_44 ADB9 140 N 
733.6759 M360 1358265 dtn2_28 ADB9 140 N 
734.9008 M361 2542830 dtn3_31 ADB9 140 N 
737.9131 M362 1498284 dtn3_31 ADB9 140 N 
740.2854 M363 1085540 dtn5_35 ADB9 140 N 
743.4498 M364 1641683 dtn8_45 ADB9 140 N 
743.5820 M365 1623463 dtn2_26 ADB9 140 N 
746.2684 M366 1020510 dtn6_38 ADB9 140 N 
746.7208 M367 2364051 dtn1_25 ADB9 140 N 
753.6659 M368 1621761 dtn3_31 ADB9 140 N 
753.9601 M369 2059312 dtn1_23 ADB9 140 N 
756.5577 M370 1770451 dtn8_45 ADB9 140 N 
756.8574 M371 2155825 dtn2_27 ADB9 140 N 
760.5461 M372 1252565 dtn2_26 ADB9 140 N 
762.6744 M373 1938911 dtn3_29 ADB9 140 N 
766.9482 M374 1073971 dtn4_34 ADB9 140 N 
767.6583 M375 2870736 dtn8_44 ADB9 140 N 
768.7928 M376 1863025 dtn1_24 ADB9 140 N 
769.1403 M377 2722733 dtn3_31 ADB9 140 N 
769.8477 M378 2342725 dtn8_44 ADB9 140 N 
769.8708 M379 2816403 dtn6_39 ADB9 140 N 
772.0250 M380 2116370 dtn1_25 ADB9 140 N 
773.2473 M381 1868443 dtn7_43 ADB9 140 N 
780.1908 M382 1824783 dtn4_33 ADB9 140 N 
781.3306 M383 1240673 dtn2_27 ADB9 140 N 
784.3182 M384 2719294 dtn4_34 ADB9 140 N 
787.6292 M385 1639864 dtn2_26 ADB9 140 N 
787.7644 M386 1773714 dtn6_40 ADB9 140 N 
789.9723 M387 1220546 dtn3_30 ADB9 140 N 
793.7388 M388 1762068 dtn2_26 ADB9 140 N 
795.5225 M389 2097992 dtn4_34 ADB9 140 N 
798.2409 M390 2297390 dtn8_45 ADB9 140 N 
800.8005 M391 1731919 dtn5_37 ADB9 140 N 
800.9543 M392 1179575 dtn4_34 ADB9 140 N 
802.9548 M393 2926344 dtn6_38 ADB9 140 N 
804.5628 M394 1317782 dtn3_31 ADB9 140 N 
805.7164 M395 2129996 dtn1_23 ADB9 140 N 
806.2231 M396 1161182 dtn1_23 ADB9 140 N 
807.6801 M397 1169428 dtn1_23 ADB9 140 N 
812.6339 M398 1209080 dtn6_39 ADB9 140 N 
817.9588 M399 2465112 dtn7_43 ADB9 140 N 
819.4206 M400 1075843 dtn3_31 ADB9 140 N 
819.6308 M401 2648818 dtn5_36 ADB9 140 N 
820.5972 M402 1854133 dtn1_23 ADB9 140 N 
824.1461 M403 1681868 dtn6_39 ADB9 140 N 
826.3321 M404 1884205 dtn8_45 ADB9 140 N 
826.4756 M405 1207088 dtn2_28 ADB9 140 N 
826.9552 M406 1941440 dtn2_28 ADB9 140 N 
827.0343 M407 2091690 dtn4_32 ADB9 140 N 
828.2774 M408 2785380 dtn4_34 ADB9 140 N 
828.8391 M409 1051056 dtn5_36 ADB9 140 N 
828.9382 M410 1404189 dtn5_35 ADB9 140 N 
829.6118 M411 1822389 dtn1_23 ADB9 140 N 
830.1560 M412 2821306 dtn4_32 ADB9 140 N 
832.7318 M413 1556109 dtn2_27 ADB9 140 N 
834.8105 M414 1536513 dtn8_44 ADB9 140 N 
834.9916 M415 1079462 dtn6_40 ADB9 140 N 
840.1201 M416 1455865 dtn8_45 ADB9 140 N 
841.0389 M417 1531806 dtn2_27 ADB9 140 N 
843.8071 M418 2220425 dtn5_37 ADB9 140 N 
844.4014 M419 2693254 dtn6_39 ADB9 140 N 
845.1343 M420 1756276 dtn7_42 ADB9 140 N 
850.8431 M421 1855904 dtn4_34 ADB9 140 N 
